Date,Close,High,Low,Open,Volume
2019-08-05,125.1287689,126.7566315,123.775353,126.1603845,42749600
2019-08-06,127.475914,128.4128797,126.0751879,126.6335836,32696700
2019-08-07,128.0343628,128.3845409,124.7691487,126.6241624,33414500
2019-08-08,131.4509888,131.5456385,128.6495213,129.2836486,27496500
2019-08-09,130.3341217,131.9146731,129.1510729,131.185911,23466700
2019-08-12,128.5170441,130.4761812,127.9965138,129.7285002,20484300
2019-08-13,131.1764984,131.3657834,127.769311,128.7630752,25154600
2019-08-14,127.2262039,130.0180039,126.931833,129.4862352,32527300
2019-08-15,126.9412994,127.7959399,125.5833915,127.6155153,28074400
2019-08-16,129.2678375,129.5812043,127.9289106,128.0808487,24449100
2019-08-19,131.4329224,131.5658646,129.9895397,130.9011536,24355700
2019-08-20,130.3408356,131.7177539,130.3218542,131.2429585,21170800
2019-08-21,131.7937469,132.4584723,131.0435763,131.5658543,14970300
2019-08-22,130.8346405,132.1830579,129.4197448,131.6702852,18697000
2019-08-23,126.6659393,131.3759169,126.1056841,130.2743879,38508600
2019-08-26,128.6220703,128.7265259,127.1502017,128.1852667,20312600
2019-08-27,128.8974762,129.8280712,127.8719163,129.5147045,23102100
2019-08-28,128.7265625,128.9164778,126.8178897,128.0808475,17393300
2019-08-29,131.1575165,131.4613926,130.0085194,130.3313769,20168700
2019-08-30,130.9106293,132.164082,129.4007829,132.1355954,23940100
2019-09-03,129.182373,130.2839023,128.8595155,129.723647,18869300
2019-09-04,130.6922302,130.7492034,129.6001917,130.3788634,17995900
2019-09-05,132.9902191,133.3035859,131.7652386,132.0976013,26101800
2019-09-06,132.088089,133.1136343,131.2334486,132.9712015,20824500
2019-09-09,130.5877686,132.7053526,129.5812043,132.5534145,25773900
2019-09-10,129.2203522,129.9895186,127.7294873,129.9040589,28903400
2019-09-11,129.258316,129.4007634,128.2802385,129.0589101,24726100
2019-09-12,130.5877686,131.4423947,129.9705257,130.9011353,27010000
2019-09-13,130.3978424,131.1005305,129.6856492,130.8346462,23363100
2019-09-16,129.4577332,129.8090772,128.821509,128.9829377,16731400
2019-09-17,130.464325,130.5877764,129.5527111,130.0560077,17814200
2019-09-18,131.537323,131.6797558,129.6476321,130.4357942,23982100
2019-09-19,133.9588013,135.1932579,133.0092103,133.2276122,35772100
2019-09-20,132.4109955,134.5095839,131.2809797,133.9018461,39167300
2019-09-23,132.1261139,132.5914188,131.461403,132.2115736,17139300
2019-09-24,130.4548187,133.5979627,129.9800232,133.2845959,29773200
2019-09-25,132.335022,132.9047825,129.1728817,130.5687819,21382000
2019-09-26,132.5059204,133.1136581,131.461379,132.41097,17456600
2019-09-27,130.7871857,133.284615,129.7616255,133.0851945,22477700
2019-09-30,132.021637,132.2020616,130.8346482,131.0910418,17280900
2019-10-01,130.1604462,133.1801386,130.0939678,132.6198834,21466600
2019-10-02,127.8623962,129.4956936,126.8463416,129.3817473,30521700
2019-10-03,129.4102325,129.8565414,126.504487,128.147275,24132900
2019-10-04,131.1575165,131.280968,129.5432145,129.8565813,22897700
2019-10-07,130.2079163,131.2144804,130.1129659,130.2269121,15303700
2019-10-08,128.8310242,130.8156661,128.7835417,130.1699511,25550500
2019-10-09,131.2714996,131.7083035,130.0655147,130.5308196,19749900
2019-10-10,132.088089,132.6293482,131.280931,131.508838,17654600
2019-10-11,132.6388855,133.9208394,132.467966,133.0567079,25446000
2019-10-14,132.5154419,133.21813,132.4869553,132.6483841,13304300
2019-10-15,134.433548,134.6424446,132.7622592,132.9996569,19695700
2019-10-16,133.332077,133.8828416,132.4964323,133.6929118,20751600
